subject,trial,condition,RT_ms,accuracy,age
S01,1,Incongruent,654.0,0,30
S01,2,Incongruent,695.3,1,30
S01,3,Incongruent,576.3,1,30
S01,4,Congruent,556.1,1,30
S01,5,Incongruent,583.9,1,30
S01,6,Incongruent,510.3,1,30
S01,7,Incongruent,622.7,1,30
S01,8,Incongruent,609.8,1,30
S01,9,Congruent,631.1,1,30
S01,10,Incongruent,655.1,1,30
S01,11,Congruent,534.5,1,30
S01,12,Congruent,487.1,1,30
S01,13,Congruent,518.0,1,30
S01,14,Incongruent,646.6,1,30
S01,15,Incongruent,541.4,1,30
S01,16,Incongruent,600.9,0,30
S01,17,Incongruent,628.7,0,30
S01,18,Congruent,606.0,1,30
S01,19,Congruent,545.3,1,30
S01,20,Congruent,447.5,1,30
S01,21,Incongruent,639.2,1,30
S01,22,Congruent,569.8,0,30
S01,23,Congruent,506.8,1,30
S01,24,Incongruent,645.7,1,30
S01,25,Incongruent,653.9,0,30
S01,26,Congruent,583.4,1,30
S01,27,Incongruent,592.6,0,30
S01,28,Congruent,484.8,1,30
S01,29,Congruent,483.4,1,30
S01,30,Incongruent,581.5,1,30
S01,31,Congruent,579.7,1,30
S01,32,Congruent,631.1,1,30
S01,33,Incongruent,676.7,1,30
S01,34,Congruent,587.0,1,30
S01,35,Congruent,585.2,1,30
S01,36,Incongruent,607.6,1,30
S01,37,Incongruent,637.3,1,30
S01,38,Incongruent,644.8,1,30
S01,39,Incongruent,596.4,0,30
S01,40,Incongruent,588.8,1,30
S01,41,Incongruent,648.8,0,30
S01,42,Congruent,596.6,1,30
S01,43,Congruent,585.1,1,30
S01,44,Congruent,603.1,1,30
S01,45,Congruent,504.8,1,30
S01,46,Congruent,518.1,1,30
S01,47,Incongruent,639.2,1,30
S01,48,Congruent,537.7,1,30
S01,49,Congruent,564.1,1,30
S01,50,Congruent,573.8,1,30
S01,51,Incongruent,626.7,1,30
S01,52,Congruent,484.8,1,30
S01,53,Incongruent,632.8,1,30
S01,54,Incongruent,604.0,1,30
S01,55,Incongruent,574.4,0,30
S01,56,Incongruent,603.5,1,30
S01,57,Congruent,478.2,1,30
S01,58,Congruent,551.0,1,30
S01,59,Incongruent,595.4,1,30
S01,60,Congruent,559.7,1,30
S01,61,Congruent,479.5,1,30
S01,62,Incongruent,633.5,1,30
S01,63,Incongruent,598.3,1,30
S01,64,Congruent,442.7,0,30
S01,65,Congruent,563.9,1,30
S01,66,Congruent,600.9,1,30
S01,67,Congruent,484.8,1,30
S01,68,Incongruent,602.7,1,30
S01,69,Congruent,450.1,1,30
S01,70,Congruent,502.5,1,30
S01,71,Incongruent,600.9,1,30
S01,72,Congruent,531.4,1,30
S01,73,Incongruent,562.1,1,30
S01,74,Congruent,518.0,1,30
S01,75,Congruent,514.5,1,30
S01,76,Incongruent,599.3,0,30
S01,77,Congruent,514.7,1,30
S01,78,Congruent,534.2,1,30
S01,79,Incongruent,581.2,1,30
S01,80,Incongruent,580.1,1,30
S01,81,Incongruent,526.2,1,30
S01,82,Congruent,532.4,1,30
S01,83,Incongruent,554.5,1,30
S01,84,Incongruent,564.0,0,30
S01,85,Congruent,548.1,1,30
S01,86,Congruent,515.5,1,30
S01,87,Incongruent,563.9,0,30
S01,88,Congruent,511.6,1,30
S01,89,Congruent,458.4,1,30
S01,90,Incongruent,593.0,1,30
S01,91,Incongruent,626.2,1,30
S01,92,Congruent,459.5,1,30
S01,93,Incongruent,610.8,1,30
S01,94,Congruent,567.8,1,30
S01,95,Incongruent,592.0,1,30
S01,96,Incongruent,633.3,1,30
S01,97,Congruent,496.1,1,30
S01,98,Congruent,481.9,1,30
S01,99,Incongruent,543.6,1,30
S01,100,Incongruent,624.7,1,30
S02,1,Incongruent,616.5,1,28
S02,2,Congruent,556.7,1,28
S02,3,Incongruent,507.6,1,28
S02,4,Incongruent,604.3,1,28
S02,5,Congruent,522.6,1,28
S02,6,Congruent,498.7,1,28
S02,7,Congruent,544.7,1,28
S02,8,Congruent,589.8,1,28
S02,9,Incongruent,635.3,1,28
S02,10,Incongruent,608.2,1,28
S02,11,Congruent,443.3,1,28
S02,12,Incongruent,578.9,1,28
S02,13,Congruent,485.9,1,28
S02,14,Congruent,563.1,1,28
S02,15,Incongruent,556.1,1,28
S02,16,Incongruent,622.1,1,28
S02,17,Incongruent,580.8,1,28
S02,18,Congruent,434.6,1,28
S02,19,Incongruent,500.9,1,28
S02,20,Congruent,488.1,0,28
S02,21,Congruent,405.6,1,28
S02,22,Congruent,505.8,1,28
S02,23,Incongruent,565.7,1,28
S02,24,Incongruent,595.8,1,28
S02,25,Incongruent,603.8,1,28
S02,26,Incongruent,541.8,0,28
S02,27,Congruent,471.8,1,28
S02,28,Incongruent,559.2,1,28
S02,29,Incongruent,571.0,1,28
S02,30,Incongruent,553.6,1,28
